instrument,alpha,alpha2,key,text_en,text_zh,label,label_zh,IPIP_item_number
16PF,0.8,,1,Feel crushed by setbacks.,我因挫折而崩潰。,Anxiety,焦慮,H643
16PF,0.85,,-1,Feel desperate.,我感到絕望。,Emotional Stability,情緒穩定性,H947
16PF,0.8,,1,"Feel guilty when I say ""no.""",當我說「不」時感到內疚。,Anxiety,焦慮,E168
16PF,0.8,,1,Feel others' emotions.,我能感受他人的情緒。,Warmth,熱情,E136
16PF,0.8,,1,Feel threatened easily.,我容易感到威脅。,Anxiety,焦慮,H612
16PF,0.8,,-1,Find it difficult to approach others.,我發現很難接近他人。,Friendliness,友善,H592
16PF,0.8,,1,Find it hard to forgive others.,我發現很難原諒他人。,Distrust,不信任,X210
16PF,0.76,,1,Get angry easily.,我容易生氣。,Emotionality,情緒性,"H754, X18"
16PF,0.81,,1,Get chores done right away.,我會馬上完成家務。,Orderliness,條理性,E119
16PF,0.76,,-1,Get confused easily.,我容易感到困惑。,Intellect,智力,H855
16PF,0.76,,1,Get irritated easily.,我容易被激怒。,Emotionality,情緒性,H761
16PF,0.76,,-1,Have a good word for everyone.,我對每個人都有好話說。,Emotionality,情緒性,H22
16PF,0.76,,-1,Have a poor vocabulary.,我的詞彙量很少。,Intellect,智力,X28
16PF,0.85,,-1,Have frequent mood swings.,我經常情緒波動。,Emotional Stability,情緒穩定性,E92
16PF,0.8,,-1,Have little to say.,我沒什麼話要說。,Friendliness,友善,H1039
16PF,0.78,,1,Joke around a lot.,我經常開玩笑。,Gregariousness,合群性,H86
16PF,0.76,,1,Judge people by their appearance.,我以貌取人。,Emotionality,情緒性,E69
16PF,0.8,,-1,Keep in the background.,我保持低調。,Friendliness,友善,"H154, X34"
16PF,0.86,,1,Keep my thoughts to myself.,我把想法藏在心裡。,Reserve,保守性,H588
16PF,0.8,,1,Know how to comfort others.,我知道如何安慰他人。,Warmth,熱情,H173
16PF,0.84,,-1,Know how to get around the rules.,我知道如何規避規則。,Dutifulness,盡責性,H1327
16PF,0.76,,-1,Know that I am not a special person.,我知道自己不是特別的人。,Intellect,智力,X234
16PF,0.76,,1,Know the answers to many questions.,我知道許多問題的答案。,Intellect,智力,
16PF,0.76,,1,Learn quickly.,我學得很快。,Intellect,智力,H1278
16PF,0.81,,-1,Leave a mess in my room.,我把房間弄得一團糟。,Orderliness,條理性,"H822, X16"
16PF,0.81,,-1,Leave my belongings around.,我到處亂放東西。,Orderliness,條理性,H823
16PF,0.81,,-1,Let myself be pushed around.,我讓自己被人欺負。,Dominance,支配性,H1026
16PF,0.81,,-1,Let myself be pushed around.,我讓自己被人欺負。,Assertiveness,自信堅定,H1026
16PF,0.81,,-1,Let others make the decisions.,我讓他人做決定。,Dominance,支配性,H964
16PF,0.81,,-1,Let others make the decisions.,我讓他人做決定。,Assertiveness,自信堅定,H964
16PF,0.81,,1,Like order.,我喜歡秩序。,Orderliness,條理性,X118
16PF,0.8,,1,Like to get lost in thought.,我喜歡陷入沉思。,Imagination,想像力,E163
16PF,0.73,,1,Like to read.,我喜歡閱讀。,Sensitivity,敏感性,H2027
16PF,0.84,,1,Like to stand during the national anthem.,我喜歡在國歌響起時站立。,Dutifulness,盡責性,X254
16PF,0.73,,1,Love flowers.,我喜歡花。,Sensitivity,敏感性,X140
16PF,0.78,,1,Love large parties.,我喜歡大型派對。,Gregariousness,合群性,"H78, X17"
16PF,0.8,,1,Love to daydream.,我喜歡做白日夢。,Imagination,想像力,X71
16PF,0.82,,1,Love to think up new ways of doing things.,我喜歡想出新的做事方法。,Complexity,複雜性,X225
16PF,0.8,,1,Make friends easily.,我很容易交朋友。,Friendliness,友善,H29
16PF,0.76,,1,Make insightful remarks.,我會提出有洞察力的評論。,Intellect,智力,H1358
16PF,0.8,,1,Make people feel at ease.,我讓人們感到自在。,Warmth,熱情,H107
16PF,0.81,,-1,Never challenge things.,我從不質疑事情。,Dominance,支配性,H1042
16PF,0.81,,-1,Never challenge things.,我從不質疑事情。,Assertiveness,自信堅定,H1042
16PF,0.85,,-1,Often feel blue.,我經常感到憂鬱。,Emotional Stability,情緒穩定性,X74
16PF,0.8,,-1,Often feel uncomfortable around others.,我經常在他人身邊感到不自在。,Friendliness,友善,H909
16PF,0.84,,-1,Oppose authority.,我反對權威。,Dutifulness,盡責性,H498
16PF,0.73,,1,Prefer to do things by myself.,我喜歡獨自做事。,Introversion,內向性,H682
16PF,0.82,,1,Prefer variety to routine.,我喜歡變化而非常規。,Complexity,複雜性,X204
16PF,0.81,,-1,Put off unpleasant tasks.,我會拖延不愉快的任務。,Orderliness,條理性,E132
16PF,0.82,,-1,Rarely look for a deeper meaning in things.,我很少尋找事物更深層的意義。,Complexity,複雜性,E77
16PF,0.73,,-1,Rarely notice my emotional reactions.,我很少注意到自己的情緒反應。,Sensitivity,敏感性,X10
16PF,0.73,,1,Read a lot.,我讀很多書。,Sensitivity,敏感性,H2032
16PF,0.85,,1,Readily overcome setbacks.,我能輕易克服挫折。,Emotional Stability,情緒穩定性,H44
16PF,0.76,,1,Reflect on things before acting.,我會在行動前思考。,Intellect,智力,"H1218, X67"
16PF,0.84,,-1,Resist authority.,我抗拒權威。,Dutifulness,盡責性,E45
16PF,0.84,,1,Respect authority.,我尊重權威。,Dutifulness,盡責性,H296
16PF,0.86,,1,Reveal little about myself.,我很少透露自己的事。,Reserve,保守性,H601
16PF,0.81,,1,Say what I think.,我會說出自己的想法。,Dominance,支配性,H336
16PF,0.81,,1,Say what I think.,我會說出自己的想法。,Assertiveness,自信堅定,H336
16PF,0.73,,1,Seek quiet.,我尋求安靜。,Introversion,內向性,H602
16PF,0.8,,-1,Seldom daydream.,我很少做白日夢。,Imagination,想像力,X135
16PF,0.85,,1,Seldom feel blue.,我很少感到憂鬱。,Emotional Stability,情緒穩定性,X156
16PF,0.8,,-1,Seldom get lost in thought.,我很少陷入沉思。,Imagination,想像力,X175
16PF,0.78,,-1,Seldom joke around.,我很少開玩笑。,Gregariousness,合群性,X137
16PF,0.86,,-1,Show my feelings.,我表現出自己的感受。,Reserve,保守性,"H3, X25"
16PF,0.76,,-1,Skip difficult words while reading.,我閱讀時會跳過困難的字。,Intellect,智力,H1439
16PF,0.8,,1,Spend time thinking about past mistakes.,我花時間思考過去的錯誤。,Anxiety,焦慮,E114
16PF,0.8,,1,Start conversations.,我會開啟對話。,Friendliness,友善,H16
16PF,0.8,,1,Suspect hidden motives in others.,我懷疑他人有隱藏動機。,Distrust,不信任,H604
16PF,0.8,,1,Swim against the current.,我逆流而上。,Imagination,想像力,H690
16PF,0.8,,1,Take an interest in other people's lives.,我對他人的生活感興趣。,Warmth,熱情,H1129
16PF,0.81,,1,Take charge.,我會掌控。,Dominance,支配性,"H334, X27"
16PF,0.81,,1,Take charge.,我會掌控。,Assertiveness,自信堅定,"H334, X27"
16PF,0.81,,1,Take control of things.,我會控制事情。,Dominance,支配性,H325
16PF,0.81,,1,Take control of things.,我會控制事情。,Assertiveness,自信堅定,H325
16PF,0.8,,1,Take deviant positions.,我採取偏差立場。,Imagination,想像力,H1090
16PF,0.8,,1,Take time out for others.,我會為他人騰出時間。,Warmth,熱情,H160
16PF,0.8,,1,Talk to a lot of different people at parties.,我在派對上和很多不同的人交談。,Friendliness,友善,X83
16PF,0.76,,1,Tend to analyze things.,我傾向於分析事物。,Intellect,智力,E125
16PF,0.8,,-1,Trust others.,我信任他人。,Distrust,不信任,"H113, X6"
16PF,0.8,,-1,Trust what people say.,我相信人們所說的話。,Distrust,不信任,E157
16PF,0.8,,-1,Try not to think about the needy.,我盡量不去想貧困的人。,Warmth,熱情,E166
16PF,0.82,,-1,Try to avoid complex people.,我試圖避開複雜的人。,Complexity,複雜性,E171
16PF,0.84,,1,Try to follow the rules.,我試圖遵守規則。,Dutifulness,盡責性,X150
16PF,0.76,,-1,Try to forgive and forget.,我試圖原諒和忘記。,Emotionality,情緒性,E126
16PF,0.76,,1,Use my brain.,我使用我的大腦。,Intellect,智力,H1215
16PF,0.84,,-1,Use swear words.,我使用髒話。,Dutifulness,盡責性,
16PF,0.81,,-1,Wait for others to lead the way.,我等待他人帶路。,Dominance,支配性,H976
16PF,0.81,,-1,Wait for others to lead the way.,我等待他人帶路。,Assertiveness,自信堅定,H976
16PF,0.81,,1,Want to be in charge.,我想要掌控。,Dominance,支配性,H793
16PF,0.81,,1,Want to be in charge.,我想要掌控。,Assertiveness,自信堅定,H793
16PF,0.73,,1,Want to be left alone.,我想要被獨處。,Introversion,內向性,H660
16PF,0.76,,1,Weigh the pros against the cons.,我會權衡利弊。,Intellect,智力,H353
16PF,0.8,,1,Worry about things.,我擔心事情。,Anxiety,焦慮,"H1157, X5"
6FPQ,0.73,,1,Accept people as they are.,我接受他人本來的樣子。,Agreeableness,親和性,H106
6FPQ,0.82,,1,Accomplish a lot of work.,我完成很多工作。,Achievement-striving,成就追求,H554
6FPQ,0.76,,-1,Act quickly without thinking.,我不假思索就迅速行動。,Deliberateness,審慎性,H866
6FPQ,0.73,,1,Act wild and crazy.,行為狂野瘋狂。,Humor/Playfulness,幽默/玩樂性,H871
6FPQ,0.59,,1,Act without consulting others.,我不徵詢他人就行動。,Self-Sufficiency,自給自足,H784
6FPQ,0.78,,-1,Act without planning.,我不做計劃就行動。,Methodicalness,條理性,H848
6FPQ,0.67,,1,Adapt easily to new situations.,我容易適應新情況。,Adaptability,適應性,H2000
6FPQ,0.67,,-1,Am a bad loser.,我是個輸不起的人。,Adaptability,適應性,H763
6FPQ,0.7,,-1,Am a creature of habit.,我是個習慣的動物。,Adventurousness,冒險性,
6FPQ,0.75,,1,Am always busy.,我總是很忙碌。,Industriousness/Perseverance/Persistence,勤勉/堅持/毅力,H58
6FPQ,0.78,,1,Am always prepared.,我總是準備充分。,Methodicalness,條理性,X87
6FPQ,0.73,,-1,Am annoyed by others' mistakes.,我會因他人的錯誤而煩躁。,Agreeableness,親和性,E82
6FPQ,0.7,,-1,Am attached to conventional ways.,我依戀傳統方式。,Adventurousness,冒險性,H312
6FPQ,0.81,,-1,Am continually losing things.,我不斷遺失東西。,Orderliness,條理性,E158
6FPQ,0.59,,-1,Am easily moved to tears.,我容易被感動而流淚。,Self-Sufficiency,自給自足,H992
6FPQ,0.73,,-1,Am easily offended.,我容易感到被冒犯。,Agreeableness,親和性,H762
6FPQ,0.78,,1,Am exacting in my work.,我對工作要求嚴格。,Methodicalness,條理性,X163
6FPQ,0.85,,1,Am good at making impromptu speeches.,我擅長即興演講。,Extraversion,外向性,P364
6FPQ,0.81,,1,Am good at many things.,我擅長很多事情。,Resourcefulness,機智,H1246
6FPQ,0.67,,1,Am good at taking advice.,我擅長接受建議。,Adaptability,適應性,H1068
6FPQ,0.87,,-1,Am hard to get to know.,我很難被了解。,Gregariousness,合群性,"H596, X9"
6FPQ,0.73,,1,Am inclined to forgive others.,我傾向於原諒他人。,Agreeableness,親和性,H137
6FPQ,0.8,,1,Am interested in many things.,我對許多事物感興趣。,Intellectual Openness,智識開放性,H2021
6FPQ,0.83,,1,Am likely to show off if I get the chance.,我可能會炫耀如果有機會的話。,Exhibitionism,表現慾,P441
6FPQ,0.78,,-1,Am not bothered by disorder.,我不會被混亂所困擾。,Methodicalness,條理性,E7
6FPQ,0.74,,1,Am not concerned with making a good impression.,我不在意給人留下好印象。,Unpretentiousness,樸實,P397
6FPQ,0.73,,1,Am not disturbed by events.,我不會被事件所困擾。,Agreeableness,親和性,H386
6FPQ,0.87,,1,Am not easily annoyed.,我不容易生氣。,Calmness,冷靜,X23
6FPQ,0.85,,-1,Am not good at getting people to like me.,我不擅長讓人喜歡我。,Extraversion,外向性,P430
6FPQ,0.83,,-1,Am not good at telling jokes.,我不擅長講笑話。,Exhibitionism,表現慾,P468
6FPQ,0.85,,-1,Am not highly motivated to succeed.,我沒有強烈的成功動機。,Leadership,領導力,X110
6FPQ,0.8,,-1,Am not interested in abstract ideas.,我對抽象概念不感興趣。,Intellectual Openness,智識開放性,X228
6FPQ,0.8,,-1,Am not interested in theoretical discussions.,我對理論討論不感興趣。,Intellectual Openness,智識開放性,X239
6FPQ,0.8,,1,Am open to change.,我對改變持開放態度。,Intellectual Openness,智識開放性,X62
6FPQ,0.73,,1,Am relaxed most of the time.,我大部分時間都很放鬆。,Humor/Playfulness,幽默/玩樂性,E141
6FPQ,0.85,,1,Am skilled in handling social situations.,我擅長處理社交情況。,Extraversion,外向性,H1366
6FPQ,0.83,,1,Am the life of the party.,我是派對的靈魂人物。,Exhibitionism,表現慾,
6FPQ,0.75,,1,Am under constant pressure.,我處於持續的壓力之下。,Industriousness/Perseverance/Persistence,勤勉/堅持/毅力,P472
6FPQ,0.73,,1,Am willing to try anything once.,我願意嘗試任何事。,Humor/Playfulness,幽默/玩樂性,X3
6FPQ,0.83,,1,Amuse my friends.,我會逗朋友開心。,Exhibitionism,表現慾,H1093
6FPQ,0.87,,-1,Avoid company.,我避免與人為伴。,Gregariousness,合群性,H598
6FPQ,0.87,,-1,Avoid contacts with others.,我避免與他人接觸。,Gregariousness,合群性,H648
6FPQ,0.82,,-1,Avoid difficult reading material.,我避免閱讀困難的材料。,Comprehension,理解力,X109
6FPQ,0.82,,-1,Avoid philosophical discussions.,我避免哲學討論。,Comprehension,理解力,X248
6FPQ,0.69,,-1,Believe appearances are important.,我相信外表很重要。,Independence,獨立性,
6FPQ,0.8,,1,Believe in the importance of art.,我相信藝術的重要性。,Culture,文化素養,X123
6FPQ,0.59,,1,Believe that events in my life are determined only by me.,我相信生活中的事件只由我決定。,Self-Sufficiency,自給自足,P409
6FPQ,0.8,,-1,Believe that too much tax money goes to support artists.,我相信太多稅金用於支持藝術家。,Culture,文化素養,X20
6FPQ,0.81,,1,Can handle a lot of information.,我能處理大量資訊。,Resourcefulness,機智,H1322
6FPQ,0.81,,1,Can manage many things at the same time.,我能同時管理很多事情。,Resourcefulness,機智,H457
6FPQ,0.81,,-1,Can never find anything.,我永遠找不到東西。,Orderliness,條理性,E172
6FPQ,0.81,,1,Can perform a wide variety of tasks.,我能執行各種各樣的任務。,Resourcefulness,機智,H492
6FPQ,0.67,,1,Can stand criticism.,我能承受批評。,Adaptability,適應性,H356
6FPQ,0.81,,1,Can tackle anything.,我能應付任何事。,Resourcefulness,機智,H439
6FPQ,0.85,,1,Can talk others into doing things.,我能說服他人做事。,Extraversion,外向性,H1137
6FPQ,0.81,,1,Can work under pressure.,我能在壓力下工作。,Resourcefulness,機智,H391
6FPQ,0.66,,-1,Can't do without the company of others.,我離不開他人的陪伴。,Reclusiveness,隱遁性,H965
6FPQ,0.67,,-1,Can't stand being contradicted.,我無法忍受被反駁。,Adaptability,適應性,H292
6FPQ,0.8,,1,Carry the conversation to a higher level.,我能將對話提升到更高層次。,Intellectual Openness,智識開放性,H1227
6FPQ,0.74,,-1,Change myself to suit others.,我會改變自己以迎合他人。,Unpretentiousness,樸實,E147
6FPQ,0.76,,1,Choose my words with care.,我會謹慎選擇用詞。,Deliberateness,審慎性,H673
6FPQ,0.75,,1,Complete tasks successfully.,我能成功完成任務。,Industriousness/Perseverance/Persistence,勤勉/堅持/毅力,H1285
6FPQ,0.66,,1,Dislike being complimented.,我不喜歡被讚美。,Reclusiveness,隱遁性,P410
6FPQ,0.7,,-1,Dislike changes.,我不喜歡變化。,Adventurousness,冒險性,"H1063, X43"
6FPQ,0.85,,-1,Dislike having authority over others.,我不喜歡對他人擁有權威。,Leadership,領導力,P341
6FPQ,0.61,,1,Dislike loud music.,我不喜歡吵鬧的音樂。,Conservatism,保守性,X215
6FPQ,0.85,,-1,Dislike taking responsibility for making decisions.,我不喜歡為決策負責。,Leadership,領導力,P359
6FPQ,0.7,,-1,Dislike the unknown.,我不喜歡未知的事物。,Adventurousness,冒險性,H1458
6FPQ,0.82,,1,Do a lot in my spare time.,我在閒暇時間做很多事。,Achievement-striving,成就追求,H79
6FPQ,0.82,,-1,Do just enough work to get by.,我只做足夠的工作。,Achievement-striving,成就追求,X115
6FPQ,0.82,,1,Do more than what's expected of me.,我做得比預期的更多。,Achievement-striving,成就追求,H2014
6FPQ,0.8,,-1,Do not enjoy going to art museums.,我不喜歡去美術館。,Culture,文化素養,X235
6FPQ,0.8,,-1,Do not enjoy watching dance performances.,我不喜歡觀看舞蹈表演。,Culture,文化素養,X243
6FPQ,0.8,,-1,Do not like concerts.,我不喜歡音樂會。,Culture,文化素養,X144
6FPQ,0.8,,-1,Do not like poetry.,我不喜歡詩歌。,Culture,文化素養,X45
6FPQ,0.59,,1,Do things men traditionally do.,我做男性傳統上做的事。,Self-Sufficiency,自給自足,
6FPQ,0.59,,1,Do things my own way.,我以自己的方式做事。,Self-Sufficiency,自給自足,H366
6FPQ,0.81,,1,Do unpleasant tasks immediately.,我會立即處理不愉快的任務。,Orderliness,條理性,E109
6FPQ,0.69,,1,Don't care about dressing nicely.,我不在意穿著打扮。,Independence,獨立性,E85
6FPQ,0.61,,-1,Don't care about rules.,我不在意規則。,Conservatism,保守性,H575
6FPQ,0.69,,1,Don't care what others think.,我不在意他人的想法。,Independence,獨立性,E134
6FPQ,0.74,,1,Don't care whether I'm considered special.,我不在意是否被認為特別。,Unpretentiousness,樸實,P486
6FPQ,0.76,,-1,Don't know why I do some of the things I do.,我不知道為什麼我做某些事。,Deliberateness,審慎性,E57
6FPQ,0.7,,-1,Don't let others take credit for my work.,我不讓他人搶走我的功勞。,Docility,溫順,P361
6FPQ,0.66,,-1,Don't like being away from civilization.,我不喜歡遠離文明。,Reclusiveness,隱遁性,P384
6FPQ,0.83,,-1,Don't like to draw attention to myself.,我不喜歡引起注意。,Exhibitionism,表現慾,X68
6FPQ,0.7,,-1,Don't like to travel.,我不喜歡旅行。,Adventurousness,冒險性,X264
6FPQ,0.83,,1,Don't mind being the center of attention.,我不介意成為注意力的焦點。,Exhibitionism,表現慾,X78
6FPQ,0.81,,-1,Don't pay attention.,我不注意。,Resourcefulness,機智,H1423
6FPQ,0.67,,-1,Don't tolerate critics.,我不容忍批評者。,Adaptability,適應性,H709
6FPQ,0.76,,1,Easily resist temptations.,我容易抵抗誘惑。,Deliberateness,審慎性,X274
6FPQ,0.73,,1,Enjoy being reckless.,我喜歡冒險行事。,Humor/Playfulness,幽默/玩樂性,E35
6FPQ,0.82,,1,Enjoy discussing movies and books with others.,我喜歡和他人討論電影和書籍。,Comprehension,理解力,E47
6FPQ,0.8,,1,Enjoy hearing new ideas.,我喜歡聽到新想法。,Culture,文化素養,X166
6FPQ,0.66,,1,Enjoy spending time by myself.,我喜歡獨處。,Reclusiveness,隱遁性,X88
6FPQ,0.82,,1,Excel in what I do.,我在我所做的事情上表現出色。,Achievement-striving,成就追求,"H1174, X8"
6FPQ,0.73,,1,Express childlike joy.,我表達出童真的喜悅。,Humor/Playfulness,幽默/玩樂性,H66
6FPQ,0.85,,1,Express myself easily.,我能輕易表達自己。,Extraversion,外向性,H17
6FPQ,0.87,,1,Feel comfortable around people.,我在人群中感到自在。,Gregariousness,合群性,X112
6FPQ,0.69,,1,Feel it's OK that some people don't like me.,我覺得有些人不喜歡我也沒關係。,Independence,獨立性,
6FPQ,0.75,,-1,Feel that work is not an important part of my life.,我覺得工作不是我生活的重要部分。,Industriousness/Perseverance/Persistence,勤勉/堅持/毅力,X159
6FPQ,0.85,,-1,Find it difficult to approach others.,我發現很難接近他人。,Extraversion,外向性,H592
6FPQ,0.82,,-1,Find it difficult to get down to work.,我發現很難開始工作。,Achievement-striving,成就追求,H1171
6FPQ,0.85,,1,Find it easy to manipulate others.,我發現很容易操縱他人。,Leadership,領導力,P407
6FPQ,0.82,,1,Find political discussions interesting.,我發現政治討論很有趣。,Comprehension,理解力,X174
6FPQ,0.87,,-1,Get angry easily.,我容易生氣。,Calmness,冷靜,"H754, X18"
6FPQ,0.73,,-1,Get back at others.,我會報復他人。,Agreeableness,親和性,H699
6FPQ,0.8,,1,Get excited by new ideas.,我對新想法感到興奮。,Culture,文化素養,H5
6FPQ,0.87,,-1,Get irritated easily.,我容易被激怒。,Calmness,冷靜,H761
