instrument,alpha,key,text,label
16PF,0.76,1,我以貌取人。,情緒性
16PF,0.8,-1,我保持低調。,友善
16PF,0.86,1,我把想法藏在心裡。,保守性
16PF,0.8,1,我知道如何安慰他人。,熱情
16PF,0.84,-1,我知道如何規避規則。,盡責性
16PF,0.76,-1,我知道自己不是特別的人。,智力
16PF,0.76,1,我知道許多問題的答案。,智力
16PF,0.76,1,我學得很快。,智力
16PF,0.81,-1,我把房間弄得一團糟。,條理性
16PF,0.81,-1,我到處亂放東西。,條理性
16PF,0.81,-1,我讓自己被人欺負。,支配性
16PF,0.81,-1,我讓自己被人欺負。,自信堅定
16PF,0.81,-1,我讓他人做決定。,支配性
16PF,0.81,-1,我讓他人做決定。,自信堅定
16PF,0.81,1,我喜歡秩序。,條理性
16PF,0.8,1,我喜歡陷入沉思。,想像力
16PF,0.73,1,我喜歡閱讀。,敏感性
16PF,0.84,1,我喜歡在國歌響起時站立。,盡責性
16PF,0.73,1,我喜歡花。,敏感性
16PF,0.78,1,我喜歡大型派對。,合群性
16PF,0.8,1,我喜歡做白日夢。,想像力
16PF,0.82,1,我喜歡想出新的做事方法。,複雜性
16PF,0.8,1,我很容易交朋友。,友善
16PF,0.76,1,我會提出有洞察力的評論。,智力
16PF,0.8,1,我讓人們感到自在。,熱情
16PF,0.81,-1,我從不質疑事情。,支配性
16PF,0.81,-1,我從不質疑事情。,自信堅定
16PF,0.85,-1,我經常感到憂鬱。,情緒穩定性
16PF,0.8,-1,我經常在他人身邊感到不自在。,友善
16PF,0.84,-1,我反對權威。,盡責性
16PF,0.73,1,我喜歡獨自做事。,內向性
16PF,0.82,1,我喜歡變化而非常規。,複雜性
16PF,0.81,-1,我會拖延不愉快的任務。,條理性
16PF,0.82,-1,我很少尋找事物更深層的意義。,複雜性
16PF,0.73,-1,我很少注意到自己的情緒反應。,敏感性
16PF,0.73,1,我讀很多書。,敏感性
16PF,0.85,1,我能輕易克服挫折。,情緒穩定性
16PF,0.76,1,我會在行動前思考。,智力
16PF,0.84,-1,我抗拒權威。,盡責性
16PF,0.84,1,我尊重權威。,盡責性
16PF,0.86,1,我很少透露自己的事。,保守性
16PF,0.81,1,我會說出自己的想法。,支配性
16PF,0.81,1,我會說出自己的想法。,自信堅定
16PF,0.73,1,我尋求安靜。,內向性
16PF,0.8,-1,我很少做白日夢。,想像力
16PF,0.85,1,我很少感到憂鬱。,情緒穩定性
16PF,0.8,-1,我很少陷入沉思。,想像力
16PF,0.78,-1,我很少開玩笑。,合群性
16PF,0.86,-1,我表現出自己的感受。,保守性
16PF,0.76,-1,我閱讀時會跳過困難的字。,智力
16PF,0.8,1,我花時間思考過去的錯誤。,焦慮
16PF,0.8,1,我會開啟對話。,友善
16PF,0.8,1,我懷疑他人有隱藏動機。,不信任
16PF,0.8,1,我逆流而上。,想像力
16PF,0.8,1,我對他人的生活感興趣。,熱情
16PF,0.81,1,我會掌控。,支配性
16PF,0.81,1,我會掌控。,自信堅定
16PF,0.81,1,我會控制事情。,支配性
16PF,0.81,1,我會控制事情。,自信堅定
16PF,0.8,1,我採取偏差立場。,想像力
16PF,0.8,1,我會為他人騰出時間。,熱情
16PF,0.8,1,我在派對上和很多不同的人交談。,友善
16PF,0.76,1,我傾向於分析事物。,智力
16PF,0.8,-1,我信任他人。,不信任
16PF,0.8,-1,我相信人們所說的話。,不信任
16PF,0.8,-1,我盡量不去想貧困的人。,熱情
16PF,0.82,-1,我試圖避開複雜的人。,複雜性
16PF,0.84,1,我試圖遵守規則。,盡責性
16PF,0.76,-1,我試圖原諒和忘記。,情緒性
16PF,0.76,1,我使用我的大腦。,智力
16PF,0.84,-1,我使用髒話。,盡責性
16PF,0.81,-1,我等待他人帶路。,支配性
16PF,0.81,-1,我等待他人帶路。,自信堅定
16PF,0.81,1,我想要掌控。,支配性
16PF,0.81,1,我想要掌控。,自信堅定
16PF,0.73,1,我想要被獨處。,內向性
16PF,0.76,1,我會權衡利弊。,智力
16PF,0.8,1,我擔心事情。,焦慮
6FPQ,0.73,1,我接受他人本來的樣子。,親和性
6FPQ,0.82,1,我完成很多工作。,成就追求
6FPQ,0.76,-1,我不假思索就迅速行動。,審慎性
6FPQ,0.73,1,行為狂野瘋狂。,幽默/玩樂性
6FPQ,0.59,1,我不徵詢他人就行動。,自給自足
6FPQ,0.78,-1,我不做計劃就行動。,條理性
6FPQ,0.67,1,我容易適應新情況。,適應性
6FPQ,0.67,-1,我是個輸不起的人。,適應性
6FPQ,0.7,-1,我是個習慣的動物。,冒險性
6FPQ,0.75,1,我總是很忙碌。,勤勉/堅持
6FPQ,0.78,1,我總是準備充分。,條理性
6FPQ,0.73,-1,我會因他人的錯誤而煩躁。,親和性
6FPQ,0.7,-1,我依戀傳統方式。,冒險性
6FPQ,0.81,-1,我不斷遺失東西。,條理性
6FPQ,0.59,-1,我容易被感動而流淚。,自給自足
6FPQ,0.73,-1,我容易感到被冒犯。,親和性
6FPQ,0.78,1,我對工作要求嚴格。,條理性
6FPQ,0.85,1,我擅長即興演講。,外向性
6FPQ,0.81,1,我擅長很多事情。,機智
6FPQ,0.67,1,我擅長接受建議。,適應性
6FPQ,0.87,-1,我很難被了解。,合群性
6FPQ,0.73,1,我傾向於原諒他人。,親和性
6FPQ,0.8,1,我對許多事物感興趣。,智識開放性
6FPQ,0.83,1,我可能會炫耀如果有機會的話。,表現慾
6FPQ,0.78,-1,我不會被混亂所困擾。,條理性
6FPQ,0.74,1,我不在意給人留下好印象。,樸實
6FPQ,0.73,1,我不會被事件所困擾。,親和性
6FPQ,0.87,1,我不容易生氣。,冷靜
6FPQ,0.85,-1,我不擅長讓人喜歡我。,外向性
6FPQ,0.83,-1,我不擅長講笑話。,表現慾
6FPQ,0.85,-1,我沒有強烈的成功動機。,領導力
6FPQ,0.8,-1,我對抽象概念不感興趣。,智識開放性
6FPQ,0.8,-1,我對理論討論不感興趣。,智識開放性
6FPQ,0.8,1,我對改變持開放態度。,智識開放性
6FPQ,0.73,1,我大部分時間都很放鬆。,幽默/玩樂性
6FPQ,0.85,1,我擅長處理社交情況。,外向性
6FPQ,0.83,1,我是派對的靈魂人物。,表現慾
6FPQ,0.75,1,我處於持續的壓力之下。,勤勉/堅持
6FPQ,0.73,1,我願意嘗試任何事。,幽默/玩樂性
6FPQ,0.83,1,我會逗朋友開心。,表現慾
6FPQ,0.87,-1,我避免與人為伴。,合群性
6FPQ,0.87,-1,我避免與他人接觸。,合群性
6FPQ,0.82,-1,我避免閱讀困難的材料。,理解力
6FPQ,0.82,-1,我避免哲學討論。,理解力
6FPQ,0.69,-1,我相信外表很重要。,獨立性
6FPQ,0.8,1,我相信藝術的重要性。,文化素養
6FPQ,0.59,1,我相信生活中的事件只由我決定。,自給自足
6FPQ,0.8,-1,我相信太多稅金用於支持藝術家。,文化素養
6FPQ,0.81,1,我能處理大量資訊。,機智
6FPQ,0.81,1,我能同時管理很多事情。,機智
6FPQ,0.81,-1,我永遠找不到東西。,條理性
6FPQ,0.81,1,我能執行各種各樣的任務。,機智
6FPQ,0.67,1,我能承受批評。,適應性
6FPQ,0.81,1,我能應付任何事。,機智
6FPQ,0.85,1,我能說服他人做事。,外向性
6FPQ,0.81,1,我能在壓力下工作。,機智
6FPQ,0.66,-1,我離不開他人的陪伴。,隱遁性
6FPQ,0.67,-1,我無法忍受被反駁。,適應性
6FPQ,0.8,1,我能將對話提升到更高層次。,智識開放性
6FPQ,0.74,-1,我會改變自己以迎合他人。,樸實
6FPQ,0.76,1,我會謹慎選擇用詞。,審慎性
6FPQ,0.75,1,我能成功完成任務。,勤勉/堅持
6FPQ,0.66,1,我不喜歡被讚美。,隱遁性
6FPQ,0.7,-1,我不喜歡變化。,冒險性
6FPQ,0.85,-1,我不喜歡對他人擁有權威。,領導力
6FPQ,0.61,1,我不喜歡吵鬧的音樂。,保守性
6FPQ,0.85,-1,我不喜歡為決策負責。,領導力
6FPQ,0.7,-1,我不喜歡未知的事物。,冒險性
6FPQ,0.82,1,我在閒暇時間做很多事。,成就追求
6FPQ,0.82,-1,我只做足夠的工作。,成就追求
6FPQ,0.82,1,我做得比預期的更多。,成就追求
6FPQ,0.8,-1,我不喜歡去美術館。,文化素養
6FPQ,0.8,-1,我不喜歡觀看舞蹈表演。,文化素養
6FPQ,0.8,-1,我不喜歡音樂會。,文化素養
6FPQ,0.8,-1,我不喜歡詩歌。,文化素養
6FPQ,0.59,1,我做男性傳統上做的事。,自給自足
6FPQ,0.59,1,我以自己的方式做事。,自給自足
6FPQ,0.81,1,我會立即處理不愉快的任務。,條理性
6FPQ,0.69,1,我不在意穿著打扮。,獨立性
6FPQ,0.61,-1,我不在意規則。,保守性
6FPQ,0.69,1,我不在意他人的想法。,獨立性
6FPQ,0.74,1,我不在意是否被認為特別。,樸實
6FPQ,0.76,-1,我不知道為什麼我做某些事。,審慎性
6FPQ,0.7,-1,我不讓他人搶走我的功勞。,溫順
6FPQ,0.66,-1,我不喜歡遠離文明。,隱遁性
6FPQ,0.83,-1,我不喜歡引起注意。,表現慾
6FPQ,0.7,-1,我不喜歡旅行。,冒險性
6FPQ,0.83,1,我不介意成為注意力的焦點。,表現慾
6FPQ,0.81,-1,我不注意。,機智
6FPQ,0.67,-1,我不容忍批評者。,適應性
6FPQ,0.76,1,我容易抵抗誘惑。,審慎性
6FPQ,0.73,1,我喜歡冒險行事。,幽默/玩樂性
6FPQ,0.82,1,我喜歡和他人討論電影和書籍。,理解力
6FPQ,0.8,1,我喜歡聽到新想法。,文化素養
6FPQ,0.66,1,我喜歡獨處。,隱遁性
6FPQ,0.82,1,我在我所做的事情上表現出色。,成就追求
6FPQ,0.73,1,我表達出童真的喜悅。,幽默/玩樂性
6FPQ,0.85,1,我能輕易表達自己。,外向性
6FPQ,0.87,1,我在人群中感到自在。,合群性
6FPQ,0.69,1,我覺得有些人不喜歡我也沒關係。,獨立性
6FPQ,0.75,-1,我覺得工作不是我生活的重要部分。,勤勉/堅持
6FPQ,0.85,-1,我發現很難接近他人。,外向性
6FPQ,0.82,-1,我發現很難開始工作。,成就追求
6FPQ,0.85,1,我發現很容易操縱他人。,領導力
6FPQ,0.82,1,我發現政治討論很有趣。,理解力
6FPQ,0.87,-1,我容易生氣。,冷靜
6FPQ,0.73,-1,我會報復他人。,親和性
6FPQ,0.8,1,我對新想法感到興奮。,文化素養
6FPQ,0.87,-1,我容易被激怒。,冷靜
6FPQ,0.87,-1,我容易沮喪。,冷靜
6FPQ,0.81,-1,我容易放棄。,機智
6FPQ,0.66,1,我走自己的路。,隱遁性
6FPQ,0.82,-1,我閒逛無所事事。,成就追求
6FPQ,0.73,1,我玩得很開心。,幽默/玩樂性
6FPQ,0.85,1,我有影響他人的天賦。,外向性
6FPQ,0.82,-1,我的詞彙量很少。,理解力
6FPQ,0.82,1,我的詞彙量很豐富。,理解力
6FPQ,0.75,-1,我的生活節奏很慢。,勤勉/堅持
6FPQ,0.85,1,我有強烈的權力需求。,領導力
6FPQ,0.7,1,我已經得到比我應得的更多。,溫順
6FPQ,0.81,1,我對細節有敏銳的觀察。,條理性
6FPQ,0.75,-1,我手頭有額外的時間。,勤勉/堅持
6FPQ,0.83,-1,我沒什麼話要說。,表現慾
6FPQ,0.61,1,我對罪犯沒有同情心。,保守性
6FPQ,0.73,1,我有時間玩樂和放鬆。,幽默/玩樂性
6FPQ,0.75,1,我有太多事情要做。,勤勉/堅持
6FPQ,0.73,-1,我會記仇。,親和性
6FPQ,0.74,-1,我以貌取人。,樸實
6FPQ,0.76,-1,我不假思索就投入事情。,審慎性
6FPQ,0.85,-1,我保持低調。,外向性
6FPQ,0.66,-1,我保持髮型時尚。,隱遁性
6FPQ,0.66,-1,我保持自己的儀容整潔。,隱遁性
6FPQ,0.87,-1,我與他人保持距離。,合群性
6FPQ,0.73,1,我知道如何享受自己。,幽默/玩樂性
6FPQ,0.85,-1,我缺乏影響他人的才能。,外向性
6FPQ,0.78,-1,我把事情留下未完成。,條理性
6FPQ,0.59,-1,我讓自己被他人指揮。,自給自足
6FPQ,0.7,1,我讓自己被利用。,溫順
6FPQ,0.73,1,我放開自己。,幽默/玩樂性
6FPQ,0.7,1,我讓他人搶走我的工作功勞。,溫順
6FPQ,0.61,-1,我讓他人失望。,保守性
6FPQ,0.7,1,我讓人欺負我以幫助他們感覺重要。,溫順
6FPQ,0.85,1,我喜歡對他人擁有權威。,領導力
6FPQ,0.8,1,我喜歡音樂。,文化素養
6FPQ,0.78,1,我喜歡秩序。,條理性
6FPQ,0.76,-1,我喜歡憑一時衝動行事。,審慎性
6FPQ,0.83,1,我喜歡吸引注意力。,表現慾
6FPQ,0.66,1,我喜歡獨處。,隱遁性
6FPQ,0.61,1,我喜歡遵循固定的時間表。,保守性
6FPQ,0.82,1,我喜歡閱讀。,理解力
6FPQ,0.81,1,我喜歡解決複雜的問題。,機智
6FPQ,0.81,1,我喜歡整理。,條理性
6FPQ,0.7,1,我喜歡參觀新地方。,冒險性
6FPQ,0.66,1,我活在自己的世界裡。,隱遁性
6FPQ,0.87,-1,我會發脾氣。,冷靜
6FPQ,0.73,1,我喜歡刺激。,幽默/玩樂性
6FPQ,0.69,-1,我喜歡被讚美。,獨立性
6FPQ,0.8,1,我喜歡學習新事物。,文化素養
6FPQ,0.82,1,我喜歡閱讀有挑戰性的材料。,理解力
6FPQ,0.78,-1,我把事情搞得一團糟。,條理性
6FPQ,0.59,1,我快速做出決定。,自給自足
6FPQ,0.87,1,我很容易交朋友。,合群性
6FPQ,0.76,-1,我做出魯莽的決定。,審慎性
6FPQ,0.78,-1,我把事情搞砸。,條理性
6FPQ,0.82,-1,我需要推動才能開始。,成就追求
6FPQ,0.59,-1,我需要保護。,自給自足
6FPQ,0.69,-1,我需要安慰。,獨立性
6FPQ,0.69,-1,我需要他人的認可。,獨立性
6FPQ,0.81,1,我只需要解釋一次。,機智
6FPQ,0.87,-1,我經常在他人身邊感到不自在。,合群性
6FPQ,0.81,1,我經常忘記把東西放回原處。,條理性
6FPQ,0.59,-1,我經常需要幫助。,自給自足
6FPQ,0.61,-1,我反對權威。,保守性
6FPQ,0.78,1,我注意細節。,條理性
6FPQ,0.82,1,我全心投入任務。,成就追求
6FPQ,0.66,1,我喜歡獨自做事。,隱遁性
6FPQ,0.8,-1,我喜歡堅持我知道的事物。,智識開放性
6FPQ,0.8,1,我喜歡變化而非常規。,智識開放性
6FPQ,0.67,-1,我貶低他人的提議。,適應性
6FPQ,0.75,-1,我在工作上投入很少時間和精力。,勤勉/堅持
6FPQ,0.74,-1,我做秀以給人留下深刻印象。,樸實
6FPQ,0.7,1,我忍受一切。,溫順
6FPQ,0.75,1,我把工作置於娛樂之上。,勤勉/堅持
6FPQ,0.87,1,我很少抱怨。,冷靜
6FPQ,0.87,1,我很少被激怒。,冷靜
6FPQ,0.8,-1,我很少尋找事物更深層的意義。,智識開放性
6FPQ,0.87,1,我很少失去鎮定。,冷靜
6FPQ,0.76,1,我在壓力下保持冷靜。,審慎性
6FPQ,0.61,1,我尊重權威。,保守性
6FPQ,0.76,-1,我倉促行事。,審慎性
6FPQ,0.69,1,我走自己的路線。,獨立性
6FPQ,0.85,1,我認為自己是個好領導者。,領導力
6FPQ,0.7,1,我尋求冒險。,冒險性
6FPQ,0.74,-1,我尋求地位。,樸實
6FPQ,0.69,-1,我尋求支持。,獨立性
6FPQ,0.87,1,我很少生氣。,冷靜
6FPQ,0.82,-1,我逃避職責。,成就追求
6FPQ,0.82,1,我展現出語言的精通。,理解力
6FPQ,0.87,-1,我對人發脾氣。,冷靜
6FPQ,0.82,1,我花很多時間閱讀。,理解力
6FPQ,0.87,1,我會開啟對話。,合群性
6FPQ,0.76,1,我照顧自己的事務。,審慎性
6FPQ,0.73,1,我順其自然。,親和性
6FPQ,0.59,-1,我談論我的擔憂。,自給自足
6FPQ,0.87,1,我在派對上和很多不同的人交談。,合群性
6FPQ,0.73,1,我容忍他人很多事。,親和性
6FPQ,0.8,-1,我試圖避開複雜的人。,智識開放性
6FPQ,0.7,1,我試圖做太困難的事情。,冒險性
6FPQ,0.73,1,我試圖原諒和忘記。,親和性
6FPQ,0.74,-1,我試圖給他人留下深刻印象。,樸實
6FPQ,0.85,1,我試圖領導他人。,領導力
6FPQ,0.85,-1,我等待他人帶路。,領導力
6FPQ,0.78,1,我希望一切都恰到好處。,條理性
6FPQ,0.61,1,我希望事情按計劃進行。,保守性
6FPQ,0.74,-1,我想在他人眼中成為特別的人。,樸實
6FPQ,0.85,1,我想要掌控。,領導力
6FPQ,0.69,-1,我想被人喜歡。,獨立性
6FPQ,0.67,-1,我想要有最後的發言權。,適應性
6FPQ,0.8,1,我想要增加我的知識。,智識開放性
6FPQ,0.87,1,我很快就能親近他人。,合群性
6FPQ,0.7,1,我會同意任何事。,溫順
6FPQ,0.7,-1,我不會為不是我的錯承擔責任。,溫順
6FPQ,0.75,1,我努力工作。,勤勉/堅持
6FPQ,0.74,-1,我擔心人們對我的看法。,樸實
6FPQ,0.85,-1,我會形容我的經歷有點沉悶。,外向性
6FPQ,0.7,1,我想在不同的國家生活一段時間。,冒險性
6FPQ,0.83,1,我會是個好演員。,表現慾
6FPQ,0.7,-1,我永遠不會去滑翔傘或高空彈跳。,冒險性
6FPQ,0.83,-1,我不會是個好喜劇演員。,表現慾
7FACTOR,0.75,-1,行為狂野瘋狂。,盡責性
7FACTOR,0.77,1,我關心他人。,親和性
7FACTOR,0.86,1,我不容易被事情困擾。,情緒穩定性
7FACTOR,0.66,-1,我沒有強烈的成功動機。,吸引力
7FACTOR,0.84,-1,我對抽象概念不感興趣。,智力
7FACTOR,0.77,-1,我對他人的問題不感興趣。,親和性
7FACTOR,0.86,-1,我經常情緒低落。,情緒穩定性
7FACTOR,0.82,1,我坦誠表達自己的感受。,外向性
7FACTOR,0.84,-1,我避免閱讀困難的材料。,智力
7FACTOR,0.75,1,我相信法律應該嚴格執行。,盡責性
7FACTOR,0.66,1,我相信自己很重要。,吸引力
7FACTOR,0.75,-1,我違反規則。,盡責性
7FACTOR,0.84,1,我能將對話提升到更高層次。,智力
7FACTOR,0.72,1,我會改變自己以適應他人。,負向特質
7FACTOR,0.72,1,我順從他人的意見。,負向特質
7FACTOR,0.72,1,我模仿他人。,負向特質
7FACTOR,0.72,1,我要求注意力。,負向特質
7FACTOR,0.75,-1,我做瘋狂的事情。,盡責性
7FACTOR,0.75,1,我按規矩做事。,盡責性
7FACTOR,0.75,-1,我以半吊子的方式做事。,盡責性
7FACTOR,0.66,-1,我不在意穿著打扮。,吸引力
7FACTOR,0.66,-1,我不喜歡打扮。,吸引力
7FACTOR,0.82,-1,我話不多。,外向性
7FACTOR,0.77,1,我能感受他人的情緒。,親和性
7FACTOR,0.77,-1,我對一切都挑剔。,親和性
7FACTOR,0.86,-1,我容易感到壓力。,情緒穩定性
7FACTOR,0.66,1,我快速完成事情。,吸引力
7FACTOR,0.84,1,我的詞彙量很豐富。,智力
7FACTOR,0.77,1,我有顆柔軟的心。,親和性
7FACTOR,0.82,-1,我難以表達自己的感受。,外向性
7FACTOR,0.84,-1,我難以理解抽象概念。,智力
7FACTOR,0.84,1,我有很好的想法。,智力
7FACTOR,0.82,-1,我保留自己的意見。,外向性
7FACTOR,0.77,-1,我侮辱他人。,親和性
7FACTOR,0.72,1,我干涉他人的事務。,負向特質
7FACTOR,0.75,-1,我不假思索就投入事情。,盡責性
7FACTOR,0.66,1,我不斷改進自己。,吸引力
7FACTOR,0.66,1,我保持自己的儀容整潔。,吸引力
7FACTOR,0.66,-1,我知道自己不是特別的人。,吸引力
7FACTOR,0.75,1,我喜歡秩序。,盡責性
7FACTOR,0.66,1,我喜歡整理。,吸引力
7FACTOR,0.82,1,我很容易交朋友。,外向性
7FACTOR,0.77,1,我讓人們感到自在。,親和性
7FACTOR,0.72,1,我需要他人的認可。,負向特質
7FACTOR,0.82,1,我從不詞窮。,外向性
7FACTOR,0.75,1,我注意細節。,盡責性
7FACTOR,0.66,-1,我不注意自己的外表。,吸引力
7FACTOR,0.77,-1,我給人施加壓力。,親和性
7FACTOR,0.84,1,我能快速理解事物。,智力
7FACTOR,0.82,-1,我說話輕聲細語。,外向性
7FACTOR,0.77,1,我同情他人的感受。,親和性
7FACTOR,0.77,-1,我占他人便宜。,親和性
7FACTOR,0.82,1,我會掌控。,外向性
7FACTOR,0.86,1,我順其自然。,情緒穩定性
7FACTOR,0.72,1,我主要談論自己。,負向特質
7FACTOR,0.82,1,我在派對上和很多不同的人交談。,外向性
7FACTOR,0.84,-1,我試圖避開複雜的人。,智力
7FACTOR,0.75,1,我試圖遵守規則。,盡責性
7FACTOR,0.72,1,我試圖給他人留下深刻印象。,負向特質
7FACTOR,0.72,1,我想被告知我是對的。,負向特質
7FACTOR,0.72,1,我想證明自己。,負向特質
7FACTOR,0.84,-1,我不會深入探討主題。,智力
AB5C,0.83,1,我接受他人本來的樣子。,冷靜
AB5C,0.75,1,我準時完成工作。,盡責性
AB5C,0.73,-1,我以犧牲他人為代價行事。,道德性
AB5C,0.85,1,我與他人相處自在。,友善
AB5C,0.78,1,行為狂野瘋狂。,自我揭露
AB5C,0.84,1,我容易適應新情況。,快樂
AB5C,0.73,-1,我是個習慣的動物。,冷靜
AB5C,0.85,-1,我是個非常隱私的人。,友善
AB5C,0.76,1,我能控制自己的渴望。,節制
AB5C,0.84,1,我能自己找出事情。,敏捷性
AB5C,0.82,-1,我害怕引起注意。,領導力
AB5C,0.75,1,我總是很忙碌。,自信堅定
AB5C,0.76,1,我總是保持同樣的心情。,平靜
AB5C,0.81,1,我總是準備充分。,目的性
AB5C,0.73,-1,我依戀傳統方式。,冷靜
AB5C,0.84,1,即使在緊張的情況下我也很冷靜。,堅韌性
AB5C,0.75,1,我小心避免犯錯。,盡責性
AB5C,0.82,1,我在陌生情況下感到自在。,鎮定
AB5C,0.74,1,我關心他人。,同情心
AB5C,0.74,1,我深受他人的不幸所感動。,同情心
AB5C,0.84,-1,我容易感到困惑。,堅韌性
AB5C,0.81,-1,我容易分心。,目的性
AB5C,0.86,-1,我容易被打擾。,穩定性
AB5C,0.78,-1,我容易興奮。,衝動控制
AB5C,0.84,-1,我容易受到驚嚇。,堅韌性
AB5C,0.84,-1,我容易受傷。,堅韌性
AB5C,0.84,-1,我容易被感動而流淚。,沉著
AB5C,0.84,-1,我容易感到被冒犯。,堅韌性
AB5C,0.77,-1,我容易被說服做傻事。,謹慎
AB5C,0.76,1,我容易滿足。,愉快性
AB5C,0.83,1,我對工作要求嚴格。,效率
AB5C,0.84,-1,我對事情充滿疑慮。,快樂
AB5C,0.84,1,我充滿想法。,創造力
